Date,AAL.L,AZN.L,BARC.L,BP.L,CPG.L,DGE.L,GSK.L,HSBA.L,LLOY.L,REL.L,RIO.L,RR.L,SHEL.L,ULVR.L,VOD.L
2020-03-31,-0.16230701432260586,-0.08467559981081973,-0.22624176936443174,-0.1445967449663319,-0.10628913888230362,-0.11663137159848824,-0.08267083030703426,-0.12602945067298243,-0.22241406285023047,-0.009195912277041973,-0.17817315538468925,-0.09600702223865587,-0.23939237332208263,-0.006132816928435814,-0.0963463798415094
2020-04-01,-0.12965937571658104,-0.06838728072807476,-0.2386252798354146,-0.15996079764339677,-0.09352711621341459,-0.1156093654582695,-0.09870344494245575,-0.14232863988244415,-0.2279935934084779,0.005497402351325231,-0.1515319618832347,-0.061964931286689784,-0.24998354938474698,0.005932224394059604,-0.09747213295184642
2020-04-02,-0.1061072610062408,-0.02184529229730292,-0.23450105404901178,-0.16143109001105616,-0.1085389186888217,-0.11017297613603905,-0.06005275205880156,-0.1247436969669391,-0.23533592358016242,0.01817230056977026,-0.11309249986877079,-0.10280649041264278,-0.247416756866072,0.031298930701165295,-0.050992672825275975
2020-04-03,-0.14750007402500365,-0.018510883604410222,-0.2646063838221976,-0.1644516338239298,-0.12911266135930932,-0.11861758968340241,-0.06940587945396615,-0.13198502719966376,-0.2552686534340711,0.006603271916036713,-0.17789452783681758,-0.12122108958962008,-0.2620358521086361,0.04544682255272825,-0.03954729771381582
2020-04-06,-0.219135959593865,-0.050166495179805315,-0.2807075670439051,-0.20034808405426563,-0.16589427434082293,-0.14593863422579867,-0.1001178387338636,-0.150524754319736,-0.272495656116009,-0.027894848570619857,-0.22075917751499285,-0.11628602597272086,-0.2970820742051131,0.026496085395964375,-0.07376268831185562
2020-04-07,-0.29934695895409547,-0.0880896491940728,-0.35415065620264263,-0.35320671841844375,-0.22659595185670844,-0.19388550621347633,-0.13514495228321044,-0.20081619826338626,-0.3333063809216489,-0.10264382588047538,-0.2697219240479988,-0.17099507371775513,-0.4169260006136536,-0.026435791013511345,-0.18241641546112541
2020-04-08,-0.2852653770838288,-0.09138344060896963,-0.35447514913222944,-0.3357768325904418,-0.24774038679635269,-0.19900060248703932,-0.1571949987878698,-0.18149167883373718,-0.29496095121720756,-0.12215324932041238,-0.2512216570855783,-0.18341655114849964,-0.39622385278685024,-0.052544456040814924,-0.19664998747469042
2020-04-09,-0.30395759741645834,-0.09067007222101842,-0.3508365661792271,-0.361889940421544,-0.2931678395020496,-0.2102895730098706,-0.15826941034994724,-0.17823266512008495,-0.2829418254601077,-0.13434372439076114,-0.26102727275272974,-0.2042629184793212,-0.4117982748912662,-0.061980241060786256,-0.22516800988331476
2020-04-14,-0.43164329409472013,-0.17887822774909767,-0.4612154867824595,-0.44535747543203585,-0.3654553951901026,-0.26455523009531257,-0.22143688701984365,-0.2469510892714425,-0.37029790576072974,-0.2387946172565123,-0.346679704365607,-0.33016640799551655,-0.5005738343258326,-0.10827557079011407,-0.33601623730610053
2020-04-15,-0.38191816043149085,-0.19381717180900815,-0.42644253716172886,-0.4419477063310373,-0.39656999358620115,-0.2545091662786999,-0.23548451574387574,-0.21015576631161037,-0.34457710747848613,-0.23863058032142104,-0.27581719628633516,-0.2907801441739807,-0.5001968165371322,-0.11424497934752154,-0.33489493959442607
2020-04-16,-0.4068623720997262,-0.19265207846919097,-0.49626689831302806,-0.4789702317866499,-0.4177051033509772,-0.2758897978820364,-0.22475757848939049,-0.21408039576495363,-0.39360959658669226,-0.22889445674466413,-0.25792192165633954,-0.3652199498658941,-0.5340174043770765,-0.14416771112071902,-0.370375155111746
2020-04-17,-0.4210759555457362,-0.14669606050705242,-0.49920113353734563,-0.47684389239833547,-0.44539114305002614,-0.28719332397868325,-0.18631881889955604,-0.1672556799104299,-0.39572287065370093,-0.2305387631065523,-0.2700420959565035,-0.42512576034289407,-0.5195925547954361,-0.06981304961892676,-0.30224115223241255
2020-04-20,-0.4902352089072878,-0.14516732029471413,-0.5245714756860075,-0.5263624103548012,-0.4754521916508887,-0.3276681283818541,-0.21782126100627897,-0.17116822188465552,-0.4190846651488809,-0.24561386526465556,-0.3018013775029942,-0.47862749558897666,-0.566915225230398,-0.06753225551525643,-0.30722581405432625
2020-04-21,-0.5019477430942307,-0.11728469633258232,-0.5198394168362981,-0.5089398447971014,-0.4552027483170028,-0.2617698875349388,-0.2082437896978253,-0.14617496578252664,-0.4465811821969756,-0.2311545117483409,-0.311286945972749,-0.44984939135704083,-0.5370589393522671,-0.01623771447436806,-0.2511296449684416
2020-04-22,-0.49501481234697053,-0.10500440336192074,-0.49061580997467813,-0.47608067228861184,-0.41986924645629864,-0.24651561861999982,-0.20371094961739233,-0.13971103026360565,-0.4474091611107436,-0.2496259359677967,-0.30195474879154305,-0.44622501449043583,-0.5141127624099631,-0.05657006995078462,-0.26313040151881506
2020-04-23,-0.4833899682163636,-0.10769864355100978,-0.5061225151860818,-0.4670867045328123,-0.46899836421325414,-0.31093974882281117,-0.24583975502839062,-0.14485162270175655,-0.4674216169333628,-0.25912027378229596,-0.2992766782064298,-0.4848253308818944,-0.4809647120371192,-0.0997341160973304,-0.2853437141726838
2020-04-24,-0.38068497916018895,-0.09108544837067989,-0.4463791210384278,-0.35732632870445014,-0.4499221877834344,-0.26042467716066064,-0.22326054141249907,-0.111149405297854,-0.4208125387302054,-0.22414625030056723,-0.1985791940826741,-0.4679333452821115,-0.37931158542890253,-0.10643371350889397,-0.2892012071136322
2020-04-27,-0.3157196997041688,-0.07741775226859104,-0.3802437685255724,-0.2882726954101421,-0.41089750248683576,-0.21292579628938557,-0.16422457489479925,-0.08799842857798246,-0.3568551474001116,-0.14975245660117043,-0.0935184010779877,-0.37637462488479956,-0.3204645568656711,-0.10176943922449655,-0.2410889061135274
2020-04-28,-0.31965820592878336,-0.10033192789475709,-0.37228224555033407,-0.30034685006540496,-0.35896762771123814,-0.1469089645270728,-0.16213435712761082,-0.1229525246678318,-0.3483690941118691,-0.13489731760826418,-0.11724813527916644,-0.3775729501052696,-0.34180719348821975,-0.10591751128539129,-0.21103023152586875
2020-04-29,-0.3394926228479517,-0.11536965365074692,-0.43396118364419445,-0.36063502179567286,-0.3792924156293179,-0.1920468038393981,-0.20438495069077933,-0.17614323777633456,-0.40182608687557253,-0.16617439971113923,-0.1676466641137564,-0.45842002473255605,-0.39792019123178735,-0.11405794794302704,-0.2540803702670894
2020-04-30,-0.3411203045434845,-0.05463694603291147,-0.45189494369449956,-0.3070958421765354,-0.3732562159637972,-0.14997014537860476,-0.17303531323235832,-0.17824158694542636,-0.42171580470660197,-0.1496799061202383,-0.11780608459618391,-0.5232938003413238,-0.3496366665161583,-0.1129064729645981,-0.2397605613425926
2020-05-01,-0.286458921823756,-0.027825168642724663,-0.4398214736881946,-0.2462028346331273,-0.3265850230851197,-0.1406172592171221,-0.1508646170954182,-0.17678500526022034,-0.43652056269223505,-0.1395926782536595,-0.0890841439206701,-0.4916419963259814,-0.28837909158171804,-0.10095490118617767,-0.24313484116603334
2020-05-04,-0.3398022918953323,-0.04729031733415179,-0.5116690191080576,-0.262740660145092,-0.3847377030456557,-0.20489654275835623,-0.16722869450793443,-0.2603922142762798,-0.5000884353654108,-0.17600402315824715,-0.1162898613057527,-0.5482823167682379,-0.27639103184914615,-0.1278784275451056,-0.27330605963900656
2020-05-05,-0.3717041800643087,-0.07347317383267138,-0.5254650774161138,-0.25053404170540916,-0.41829718952827355,-0.21390512990459298,-0.17716025353283926,-0.2943941726327678,-0.49730439670790505,-0.20446802895343164,-0.11489779198022021,-0.5939596189801915,-0.22728312187322597,-0.11977390009192379,-0.27069568362671814
2020-05-06,-0.41232806520660736,-0.06754383642017747,-0.5360776579632809,-0.3034112707740034,-0.42302647794260995,-0.21936177107567456,-0.1436806404708174,-0.3019331134983352,-0.5147882768675638,-0.18879252568531402,-0.11942431076454052,-0.6335566052070446,-0.2732690781607665,-0.12913732989525373,-0.24465892975193215
